first_name,last_name,phone_number
María,González,5523456789
Juan,Pérez,5512345678
Luis,Hernández,5534567890
Ana,Martínez,5543219876
Carlos,López,5556781234
Lucía,Ramírez,5598765432
Diego,Fernández,5587654321
Elena,Rojas,5576543210
Pedro,Cruz,5565432109
Sofía,Torres,5547890123
Miguel,Morales,5532123456
Valeria,Jiménez,5520987654
Jorge,Sánchez,5511223344
Fernanda,Reyes,5599001122
Andrés,Ortega,5577889900
Daniela,Núñez,5588443322
Héctor,Aguilar,5566778899
Isabel,Mendoza,5554433221
Tomás,Vega,5533998877
Camila,Castro,5544112233
